feature,used_for_kmeans,used_for_models,label
Q20_5,FALSE,FALSE,문20. 사회적 자본 관련_5) 사람들은 내가 불의에 대하여 싸우는 것을 도와줄 것이다
Q20_6,FALSE,FALSE,문20. 사회적 자본 관련_6) 사람들과 교류하면서 내가 더 큰 세계에 연결되어 있다고 느끼게 된다
Q20_7,FALSE,FALSE,문20. 사회적 자본 관련_7) 사람들과 교류하면서 세상의 모든 사람들이 다 연결되어 있다고 느낀다
Q20_8,FALSE,FALSE,문20. 사회적 자본 관련_8) 나는 기꺼이 커뮤니티 활동에 시간을 보낼 의향이 있다
Q20_9,FALSE,FALSE,문20. 사회적 자본 관련_9) 사람들과 교류하면서 새로운 사람들과 대화할 수 있게 한다
Q20_10,FALSE,FALSE,문20. 사회적 자본 관련_10) 교류는 항상 새로운 사람들과 만날 수 있게 한다
Q21_1,FALSE,TRUE,문21. 디지털 기술에 대한 태도_1) 디지털 기술은 유용하다
Q21_2,FALSE,TRUE,문21. 디지털 기술에 대한 태도_2) 디지털 기술은 내 삶을 편리하게 한다
Q21_3,FALSE,TRUE,문21. 디지털 기술에 대한 태도_3) 디지털 기술은 나에게 좋은 것이다
Q21_4,FALSE,TRUE,문21. 디지털 기술에 대한 태도_4) 디지털 기술을 더 많이 이용하고 싶다
Q22_1,FALSE,TRUE,문22. 디지털 기기 이용 효능감_1) 나는 디지털 기기를 배우는데 자신이 있다
Q22_2,FALSE,TRUE,문22. 디지털 기기 이용 효능감_2) 나는 디지털 기기를 활용하는데 자신이 있다
Q22_3,FALSE,TRUE,문22. 디지털 기기 이용 효능감_3) 나는 새로운 디지털 기기의 사용방법을 빠르게 알아낼 수 있다
Q22_4,FALSE,TRUE,문22. 디지털 기기 이용 효능감_4) 디지털 기기를 더 많이 이용하고 싶다
Q23_1,FALSE,FALSE,문23. 일상생활 부문별 만족도_1) 여가(취미) 및 문화생활
Q23_2,FALSE,FALSE,문23. 일상생활 부문별 만족도_2) 경제적 여건(소득 및 자산)
Q23_3,FALSE,FALSE,"문23. 일상생활 부문별 만족도_3) 사회활동(커뮤니티, 모임, 공동체 참여 등)"
Q23_4,FALSE,FALSE,문23. 일상생활 부문별 만족도_4) 대인관계(알던 사람과의 관계유지 및 새로운 사람을 만나는 것)
Q23_5,FALSE,FALSE,문23. 일상생활 부문별 만족도_5) 가족관계
Q23_6,FALSE,FALSE,문23. 일상생활 부문별 만족도_6) 내가 하는 일(학업이나 업무활동 등)
Q23_7,FALSE,FALSE,문23. 일상생활 부문별 만족도_7) 신체 및 정신 건강
Q23_8,FALSE,FALSE,문23. 일상생활 부문별 만족도_8) 정치 및 정부 활동(각종 정책 등)
Q24_1,FALSE,FALSE,문24. 삶에 대한 만족도_1) 대부분의 경우에서 내 삶은 내 이상과 가깝다
Q24_2,FALSE,FALSE,문24. 삶에 대한 만족도_2) 내 삶의 조건들은 매우 우수하다
Q24_3,FALSE,FALSE,문24. 삶에 대한 만족도_3) 나는 내 삶에 만족한다
Q24_4,FALSE,FALSE,문24. 삶에 대한 만족도_4) 지금까지 나는 인생에서 내가 원하는 중요한 것들을 얻었다
Q24_5,FALSE,FALSE,"문24. 삶에 대한 만족도_5) 내 삶을 다시 산다면, 나는 거의 아무것도 바꾸지 않을 것이다"
Q25,FALSE,FALSE,문25. 인공지능 서비스 이용 경험 여부
Q26_1,FALSE,FALSE,문26. 인공지능 역량_1) AI가 적용된 기기와 아닌 기기 구별 가능
Q26_2,FALSE,FALSE,문26. 인공지능 역량_2) AI 기술로 어떤 도움을 받을 수 있는지 알고 있음
Q26_3,FALSE,FALSE,문26. 인공지능 역량_3)사용하는 애플리케이션과 제품에 적용된 AI 기술 식별 가능
Q26_4,FALSE,FALSE,문26. 인공지능 역량_4)AI 애플리케이션 또는 제품을 일상 업무에 능숙하게 활용
Q26_5,FALSE,FALSE,문26. 인공지능 역량_5)새로운 AI 애플리케이션이나 제품을 배우는 것이 어렵지 않음
Q26_6,FALSE,FALSE,문26. 인공지능 역량_6)AI 애플리케이션이나 제품을 사용하여 업무 효율성을 향상
Q26_7,FALSE,FALSE,문26. 인공지능 역량_7)AI 애플리케이션이나 제품을 일정기간 사용 후 기능과 한계 평가 가능
Q26_8,FALSE,FALSE,문26. 인공지능 역량_8)스마트 에이전트가 제공하는 솔루션 중 적절한 것 선택 가능
Q26_9,FALSE,FALSE,문26. 인공지능 역량_9)다양한 선택지 중 특정 작업에 적합한 AI 애플리케이션이나 제품 선택 가능
Q26_10,FALSE,FALSE,문26. 인공지능 역량_10)AI 관련 제품 사용 시 법률을 위반하지 않거나 다른 사람의 권리를 침해하지 않도록 노력
Q26_11,FALSE,FALSE,문26. 인공지능 역량_11)AI 관련 제품 사용 시 개인정보 보호나 정보보안 문제를 의식
Q26_12,FALSE,FALSE,문26. 인공지능 역량_12)AI의 잘못된 사용에 대해 경계
Q28_1,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 1
Q28_2,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 2
Q28_3,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 3
Q28_4,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 4
Q28_5,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 5
Q28_6,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 6
Q28_7,FALSE,FALSE,문28. 인공지능(AI)을 이용하지 않는 이유 7
Q29_1,FALSE,FALSE,문29. 인공지능 기술 관련 인식_1) 더욱 편리하고 좋은 디지털 서비스를 제공받을 수 있을 것
Q29_2,FALSE,FALSE,문29. 인공지능 기술 관련 인식_2) 개인정보침해 등 보안 위협이나 허위조작정보가 확산될 것이 우려
Q29_3,FALSE,FALSE,문29. 인공지능 기술 관련 인식_3) AI가 발전할수록 더욱 정확한 정보를 얻고 효율적인 결정을 내릴 수 있을 것
Q29_4,FALSE,FALSE,문29. 인공지능 기술 관련 인식_4) 기술의 편향으로 인해 특정 집단에 대한 차별이나 불공정을 야기할 것
Q29_5,FALSE,FALSE,문29. 인공지능 기술 관련 인식_5) AI 발전을 위한 정부와 기업의 지원이 강화되어야 함
Q29_6,FALSE,FALSE,문29. 인공지능 기술 관련 인식_6) AI 기술이 인간의 통제범위를 벗어나게 될 것이 우려됨
Q29_7,FALSE,FALSE,문29. 인공지능 기술 관련 인식_7) AI기술은 다양한 방면에서 더 많은 기회를 줄 것
Q29_8,FALSE,FALSE,"문29. 인공지능 기술 관련 인식_8) AI기술로 인한 혜택은 공정하게 배분되지 않으며, 빈부격차를 강화시킬 것"
Q29_9,FALSE,FALSE,문29. 인공지능 기술 관련 인식_9) 인류와 사회 전반에 긍정적인 영향을 줄 것
Q29_10,FALSE,FALSE,문29. 인공지능 기술 관련 인식_10) 내 삶에 긍정적인 영향을 줄 것
Q30,FALSE,FALSE,문30. 정보화교육 과정 인지 여부
Q31_1,FALSE,FALSE,문31. 정보화교육 과정 수요_1) 기초과정
Q31_2,FALSE,FALSE,문31. 정보화교육 과정 수요_2) 생활과정
Q31_3,FALSE,FALSE,문31. 정보화교육 과정 수요_3) 심화과정
Q31_4,FALSE,FALSE,문31. 정보화교육 과정 수요_4) 특별과정
AI_인지,TRUE,TRUE,(Q27A 합산)
AI_사용빈도,TRUE,TRUE,(Q27B 합산)
AI_도움정도,TRUE,TRUE,(Q27C 합산)
