feature,coef_mean,perm_imp
Q4C_2,0.19713792354718448,0.0010474547129219359
Q11_3,0.5377366959971784,0.000994666391983412
Q4C_1,0.1853138541109974,0.0008505616404166694
Q4B_2_1,0.24518579176673647,0.0008434421184016161
Q5_5,0.12712966894313701,0.000791533165213365
Q22_1,0.11562354627082909,0.0007257831079441557
Q21_1,0.09105355091824407,0.0006736029086919059
Q21_3,0.06518277102430114,0.0005038672439679592
Q22_3,0.08734301776790171,0.0003727962671196572
Q5_3,0.15965672568898284,0.0002926775774061641
Q3,0.6051630733707215,0.00028591643700860426
Q5_2,0.08054583550533827,0.00018591946820616377
Q21_4,0.06352047897955375,0.00015307243082104404
Q5_4,0.06778933081869938,0.00014607597396613104
Q22_4,0.05139014380526971,0.00012174504477900916
Q22_2,0.047919544763678566,1.9671815351496313e-05
Q21_2,0.023482179464176803,-1.7125092869352267e-05
